cell,slice,timestamp,pdcp_rate,utilization,volume,target_rate,prb
2,1, 2022/03/14 01:54:23,0,0.059290385,273.114752,15345000,10
2,2, 2022/03/14 01:54:23,143385.1406,0.047374845,126.02096,5115000,26
2,1, 2022/03/14 01:54:24,52933.25391,0.058608055,273.114752,15345000,58
2,2, 2022/03/14 01:54:24,100864.0313,0.054700465,126.02096,5115000,29
2,1, 2022/03/14 01:54:25,206381.5313,0.116069632,194.146048,15345000,60
2,2, 2022/03/14 01:54:25,217317.1875,0.050793648,96.03426133,5115000,28
2,1, 2022/03/14 01:54:26,206381.5313,0.115585718,194.146048,15345000,64
2,2, 2022/03/14 01:54:26,217317.1875,0.050793595,96.03426133,5115000,27
2,1, 2022/03/14 01:54:27,288166.3125,0.1362924,194.146048,15345000,65
2,2, 2022/03/14 01:54:27,217317.1875,0.042979136,96.03426133,5115000,27
2,1, 2022/03/14 01:54:28,288166.3125,0.104086666,194.146048,15345000,66
2,2, 2022/03/14 01:54:28,0,0.027297008,96.03426133,5115000,10
2,1, 2022/03/14 01:54:29,275601.9063,0.098656902,194.146048,15345000,57
2,2, 2022/03/14 01:54:29,0,0.054700828,96.03426133,5115000,10
2,1, 2022/03/14 01:54:30,0,0,194.146048,15345000,10
2,2, 2022/03/14 01:54:30,0,0,96.03426133,5115000,10
2,1, 2022/03/14 01:54:31,0,0,194.146048,15345000,10
2,2, 2022/03/14 01:54:31,0,0,96.03426133,5115000,10
2,1, 2022/03/14 01:54:32,0,0,189.1656533,15345000,10
2,2, 2022/03/14 01:54:32,0,0,94.464064,5115000,10
2,1, 2022/03/14 01:54:33,0,0,189.1656533,15345000,10
2,2, 2022/03/14 01:54:33,0,0,94.464064,5115000,10
2,1, 2022/03/14 01:54:34,0,0,189.1656533,15345000,10
2,2, 2022/03/14 01:54:34,0,0,94.464064,5115000,10
2,1, 2022/03/14 01:54:35,0,0,189.1656533,15345000,10
2,2, 2022/03/14 01:54:35,0,0,94.464064,5115000,10
2,1, 2022/03/14 01:54:36,284565.3125,0.058608055,189.1656533,15345000,58
2,2, 2022/03/14 01:54:36,43309.74219,0.058608055,94.464064,5115000,30
2,1, 2022/03/14 01:54:37,230817.25,0.175824165,189.1656533,15345000,62
2,2, 2022/03/14 01:54:37,43309.74219,0.058608055,94.464064,5115000,37
2,1, 2022/03/14 01:54:38,85003.4375,0.175824165,191.9412053,15345000,78
2,2, 2022/03/14 01:54:38,55114.57422,0.116872597,103.8153707,5115000,47
2,1, 2022/03/14 01:54:39,90310.61719,0.220780373,191.9412053,15345000,90
2,2, 2022/03/14 01:54:39,55114.57422,0.102561369,103.8153707,5115000,66
2,1, 2022/03/14 01:54:40,0,0,191.9412053,15345000,10
2,2, 2022/03/14 01:54:40,0,0,103.8153707,5115000,10
2,1, 2022/03/14 01:54:41,0,0,191.9412053,15345000,10
2,2, 2022/03/14 01:54:41,0,0,103.8153707,5115000,10
2,1, 2022/03/14 01:54:42,0,0,191.9412053,15345000,10
2,2, 2022/03/14 01:54:42,0,0,103.8153707,5115000,10
2,1, 2022/03/14 01:54:43,0,0,191.9412053,15345000,10
2,2, 2022/03/14 01:54:43,0,0,103.8153707,5115000,10
2,1, 2022/03/14 01:54:44,0,0,167.1757227,15345000,10
2,2, 2022/03/14 01:54:44,0,0,91.090656,5115000,10
2,1, 2022/03/14 01:54:45,0,0,167.1757227,15345000,10
2,2, 2022/03/14 01:54:45,0,0,91.090656,5115000,10
2,1, 2022/03/14 01:54:46,130064.5625,0.058608055,167.1757227,15345000,103
2,2, 2022/03/14 01:54:46,110287.3047,0.058608055,91.090656,5115000,70
2,1, 2022/03/14 01:54:47,129613.7578,0.232824364,167.1757227,15345000,118
2,2, 2022/03/14 01:54:47,109286.8125,0.157757645,91.090656,5115000,71
2,1, 2022/03/14 01:54:48,132274.9688,0.154585047,167.1757227,15345000,131
2,2, 2022/03/14 01:54:48,0,0.037607007,91.090656,5115000,10
2,1, 2022/03/14 01:54:49,0,0,167.1757227,15345000,10
2,2, 2022/03/14 01:54:49,0,0,91.090656,5115000,10
2,1, 2022/03/14 01:54:50,0,0,167.1757227,15345000,10
2,2, 2022/03/14 01:54:50,0,0,91.090656,5115000,10
2,1, 2022/03/14 01:54:51,0,0,236.2124587,15345000,10
2,2, 2022/03/14 01:54:51,0,0,171.6879467,5115000,10
2,1, 2022/03/14 01:54:52,0,0,236.2124587,15345000,10
2,2, 2022/03/14 01:54:52,0,0,171.6879467,5115000,10
2,1, 2022/03/14 01:54:53,0,0,236.2124587,15345000,10
2,2, 2022/03/14 01:54:53,0,0,171.6879467,5115000,10
2,1, 2022/03/14 01:54:54,0,0,236.2124587,15345000,10
2,2, 2022/03/14 01:54:54,0,0,171.6879467,5115000,10
2,1, 2022/03/14 01:54:55,153581.2344,0.058608055,236.2124587,15345000,138
2,2, 2022/03/14 01:54:55,172108.6875,0.058608055,171.6879467,5115000,59
2,1, 2022/03/14 01:54:56,144839.3594,0.15279664,236.2124587,15345000,153
2,2, 2022/03/14 01:54:56,185184.9531,0.123298273,171.6879467,5115000,50
2,1, 2022/03/14 01:54:57,101427.7266,0.323880119,168.388768,15345000,149
2,2, 2022/03/14 01:54:57,86968.53125,0.120185642,124.39408,5115000,53
2,1, 2022/03/14 01:54:58,0,0,168.388768,15345000,10
2,2, 2022/03/14 01:54:58,0,0,124.39408,5115000,10
2,1, 2022/03/14 01:54:59,0,0,168.388768,15345000,10
2,2, 2022/03/14 01:54:59,0,0,124.39408,5115000,10
2,1, 2022/03/14 01:55:00,0,0,168.388768,15345000,10
2,2, 2022/03/14 01:55:00,0,0,124.39408,5115000,10
2,1, 2022/03/14 01:55:01,0,0,168.388768,15345000,10
2,2, 2022/03/14 01:55:01,0,0,124.39408,5115000,10
2,1, 2022/03/14 01:55:02,0,0,168.388768,15345000,10
2,2, 2022/03/14 01:55:02,0,0,124.39408,5115000,10
2,1, 2022/03/14 01:55:03,0,0,168.388768,15345000,10
2,2, 2022/03/14 01:55:03,0,0,65.382448,5115000,10
2,1, 2022/03/14 01:55:04,62123.86719,0.058608055,88.21824,15345000,144
2,2, 2022/03/14 01:55:04,69074.98438,0.058608055,65.382448,5115000,61
2,1, 2022/03/14 01:55:05,62123.86719,0.277152958,88.21824,15345000,132
2,2, 2022/03/14 01:55:05,0,0.092052765,65.382448,5115000,10
2,1, 2022/03/14 01:55:06,0,0.157133045,88.21824,15345000,10
2,2, 2022/03/14 01:55:06,69034.26563,0.058608055,65.382448,5115000,66
2,1, 2022/03/14 01:55:07,62123.86719,0.058608065,88.21824,15345000,175
2,2, 2022/03/14 01:55:07,0,1.81E-12,65.382448,5115000,10
2,1, 2022/03/14 01:55:08,0,0,88.21824,15345000,10
2,2, 2022/03/14 01:55:08,0,0,65.382448,5115000,10
2,1, 2022/03/14 01:55:09,0,0,88.21824,15345000,10
2,2, 2022/03/14 01:55:09,0,0,65.382448,5115000,10
2,1, 2022/03/14 01:55:10,0,0,276.7957333,15345000,10
2,2, 2022/03/14 01:55:10,0,0,152.6896,5115000,10
2,1, 2022/03/14 01:55:11,0,0,276.7957333,15345000,10
2,2, 2022/03/14 01:55:11,0,0,152.6896,5115000,10
2,1, 2022/03/14 01:55:12,0,0,276.7957333,15345000,10
2,2, 2022/03/14 01:55:12,0,0,152.6896,5115000,10
2,1, 2022/03/14 01:55:13,156395.4688,0.058608055,276.7957333,15345000,198
2,2, 2022/03/14 01:55:13,169774.2031,0.04297924,152.6896,5115000,55
2,1, 2022/03/14 01:55:14,156443.9375,0.176498032,276.7957333,15345000,235
2,2, 2022/03/14 01:55:14,0,0.011720656,152.6896,5115000,10
2,1, 2022/03/14 01:55:15,0,0.054470649,276.7957333,15345000,10
2,2, 2022/03/14 01:55:15,0,0.054594016,152.6896,5115000,10
2,1, 2022/03/14 01:55:16,203822.1094,0.058608055,143.9816533,15345000,195
2,2, 2022/03/14 01:55:17,0,0.02735043,73.43488,5115000,10
2,1, 2022/03/14 01:55:17,0,0,143.9816533,15345000,10
2,2, 2022/03/14 01:55:18,0,0,73.43488,5115000,10
2,1, 2022/03/14 01:55:18,0,0,143.9816533,15345000,10
2,2, 2022/03/14 01:55:19,0,0,73.43488,5115000,10
2,1, 2022/03/14 01:55:19,0,0,143.9816533,15345000,10
2,2, 2022/03/14 01:55:20,0,0,73.43488,5115000,10
2,1, 2022/03/14 01:55:20,0,0,143.9816533,15345000,10
2,2, 2022/03/14 01:55:21,0,0,73.43488,5115000,10
2,1, 2022/03/14 01:55:21,0,0,143.9816533,15345000,10
2,2, 2022/03/14 01:55:22,0,0,73.43488,5115000,10
2,1, 2022/03/14 01:55:22,143792.3125,0.058608055,143.9816533,15345000,191
2,2, 2022/03/14 01:55:23,11837.27148,0.058608065,73.43488,5115000,71
2,1, 2022/03/14 01:55:23,14889.95801,0.277056103,72.74264533,15345000,198
2,2, 2022/03/14 01:55:24,30594.21094,0.127408047,34.663168,5115000,75
2,1, 2022/03/14 01:55:24,28558.47266,0.402154579,72.74264533,15345000,258
2,2, 2022/03/14 01:55:25,0,0.062790046,34.663168,5115000,10
2,1, 2022/03/14 01:55:25,24480.53906,0.284482784,72.74264533,15345000,200
2,2, 2022/03/14 01:55:26,30594.21094,0.058608065,34.663168,5115000,73
2,1, 2022/03/14 01:55:26,0,0,72.74264533,15345000,10
2,2, 2022/03/14 01:55:27,0,0,34.663168,5115000,10
2,1, 2022/03/14 01:55:27,0,0,72.74264533,15345000,10
2,2, 2022/03/14 01:55:28,0,0,34.663168,5115000,10
2,1, 2022/03/14 01:55:28,0,0,72.74264533,15345000,10
2,2, 2022/03/14 01:55:29,0,0,34.663168,5115000,10
2,1, 2022/03/14 01:55:29,0,0,274.5785813,15345000,10
2,2, 2022/03/14 01:55:30,0,0,126.8512747,5115000,10
2,1, 2022/03/14 01:55:30,0,0,274.5785813,15345000,10
2,2, 2022/03/14 01:55:31,0,0,126.8512747,5115000,10
2,1, 2022/03/14 01:55:31,236293,0.058608055,274.5785813,15345000,159
2,2, 2022/03/14 01:55:32,148639.6719,0.058608055,126.8512747,5115000,81
2,1, 2022/03/14 01:55:32,236293,0.320496178,274.5785813,15345000,115
2,2, 2022/03/14 01:55:33,152564.0938,0.054744244,126.8512747,5115000,72
2,1, 2022/03/14 01:55:33,0,0.1195504,274.5785813,15345000,10
2,2, 2022/03/14 01:55:34,146188.8438,0.150474281,126.8512747,5115000,57
2,1, 2022/03/14 01:55:34,236293,0.058608065,274.5785813,15345000,100
2,2, 2022/03/14 01:55:35,146212.125,0.123155174,126.8512747,5115000,46
2,1, 2022/03/14 01:55:35,0,0,357.849152,15345000,10
2,2, 2022/03/14 01:55:36,0,0,169.9964907,5115000,10
2,1, 2022/03/14 01:55:36,0,0,357.849152,15345000,10
2,2, 2022/03/14 01:55:37,0,0,169.9964907,5115000,10
2,1, 2022/03/14 01:55:37,0,0,357.849152,15345000,10
2,2, 2022/03/14 01:55:38,0,0,169.9964907,5115000,10
2,1, 2022/03/14 01:55:38,0,0,357.849152,15345000,10
2,2, 2022/03/14 01:55:39,0,0,169.9964907,5115000,10
2,1, 2022/03/14 01:55:39,0,0,357.849152,15345000,10
2,2, 2022/03/14 01:55:40,0,0,169.9964907,5115000,10
2,1, 2022/03/14 01:55:40,198732.375,0.058608055,357.849152,15345000,94
2,2, 2022/03/14 01:55:41,197935.4688,0.058608055,169.9964907,5115000,36
2,1, 2022/03/14 01:55:41,202329.125,0.289362907,357.849152,15345000,86
2,2, 2022/03/14 01:55:42,192479.2813,0.105997829,169.9964907,5115000,33
2,1, 2022/03/14 01:55:42,104935.8125,0.285225773,178.1418773,15345000,90
2,2, 2022/03/14 01:55:43,0,0.116214514,70.38909333,5115000,10
2,1, 2022/03/14 01:55:43,107365.9609,0.215308762,178.1418773,15345000,92
2,2, 2022/03/14 01:55:44,60727.82422,0.058608055,70.38909333,5115000,37
2,1, 2022/03/14 01:55:44,0,0,178.1418773,15345000,10
2,2, 2022/03/14 01:55:45,0,0,70.38909333,5115000,10
2,1, 2022/03/14 01:55:45,0,0,178.1418773,15345000,10
2,2, 2022/03/14 01:55:46,0,0,70.38909333,5115000,10
2,1, 2022/03/14 01:55:46,0,0,178.1418773,15345000,10
2,2, 2022/03/14 01:55:47,0,0,70.38909333,5115000,10
2,1, 2022/03/14 01:55:47,0,0,178.1418773,15345000,10
2,2, 2022/03/14 01:55:48,0,0,70.38909333,5115000,10
2,1, 2022/03/14 01:55:48,0,0,261.146816,15345000,10
2,2, 2022/03/14 01:55:49,0,0,98.283072,5115000,10
2,1, 2022/03/14 01:55:49,0,0,261.146816,15345000,10
2,2, 2022/03/14 01:55:50,0,0,98.283072,5115000,10
2,1, 2022/03/14 01:55:50,211471.2813,0.058608055,261.146816,15345000,83
2,2, 2022/03/14 01:55:51,96675.89844,0.058608055,98.283072,5115000,40
2,1, 2022/03/14 01:55:51,211442.1875,0.292119064,261.146816,15345000,76
2,2, 2022/03/14 01:55:52,94232.82813,0.109201384,98.283072,5115000,43
2,1, 2022/03/14 01:55:52,211474.5,0.23443222,261.146816,15345000,73
2,2, 2022/03/14 01:55:53,104082.6797,0.029260988,98.283072,5115000,44
2,1, 2022/03/14 01:55:53,198259.7656,0.23443222,261.146816,15345000,72
2,2, 2022/03/14 01:55:54,93689.92969,0.116871805,98.283072,5115000,46
2,1, 2022/03/14 01:55:54,211474.5,0.23443222,261.146816,15345000,72
2,2, 2022/03/14 01:55:55,223087.5,0.111714449,199.9054293,5115000,37
2,1, 2022/03/14 01:55:55,337454.3438,0.23443222,533.2402773,15345000,64
2,2, 2022/03/14 01:55:56,227167.0469,0.087667942,199.9054293,5115000,30
2,1, 2022/03/14 01:55:56,353793.2188,0.23443222,533.2402773,15345000,56
2,2, 2022/03/14 01:55:57,227167.0469,0.058608065,199.9054293,5115000,27
2,1, 2022/03/14 01:55:57,340667.4375,0.175824184,533.2402773,15345000,51
2,2, 2022/03/14 01:55:58,223087.5,0.058608065,199.9054293,5115000,26
2,1, 2022/03/14 01:55:58,327972.875,0.175824184,533.2402773,15345000,47
2,2, 2022/03/14 01:55:59,216910,0.058608065,199.9054293,5115000,25
2,1, 2022/03/14 01:55:59,332440.7813,0.117216129,533.2402773,15345000,44
2,2, 2022/03/14 01:56:00,216910,0.058608065,199.9054293,5115000,23
